,n_components,absorption_ratio
2007-10-11,104.0,0.750578529014127
2007-10-12,104.0,0.750578529014127
2007-10-15,104.0,0.750578529014127
2007-10-16,104.0,0.750578529014127
2007-10-17,104.0,0.750578529014127
2007-10-18,104.0,0.750578529014127
2007-10-19,104.0,0.750578529014127
2007-10-22,104.0,0.750578529014127
2007-10-23,104.0,0.750578529014127
2007-10-24,104.0,0.750578529014127
2007-10-25,104.0,0.750578529014127
2007-10-26,104.0,0.750578529014127
2007-10-29,104.0,0.750578529014127
2007-10-30,104.0,0.750578529014127
2007-10-31,104.0,0.750578529014127
2007-11-01,104.0,0.750578529014127
2007-11-02,104.0,0.750578529014127
2007-11-05,104.0,0.750578529014127
2007-11-06,104.0,0.750578529014127
2007-11-07,104.0,0.750578529014127
2007-11-08,104.0,0.7511800766010439
2007-11-09,104.0,0.7511800766010439
2007-11-12,104.0,0.7511800766010439
2007-11-13,104.0,0.7511800766010439
2007-11-14,104.0,0.7511800766010439
2007-11-15,104.0,0.7511800766010439
2007-11-16,104.0,0.7511800766010439
2007-11-19,104.0,0.7511800766010439
2007-11-20,104.0,0.7511800766010439
2007-11-21,104.0,0.7511800766010439
2007-11-23,104.0,0.7511800766010439
2007-11-26,104.0,0.7511800766010439
2007-11-27,104.0,0.7511800766010439
2007-11-28,104.0,0.7511800766010439
2007-11-29,104.0,0.7511800766010439
2007-11-30,104.0,0.7511800766010439
2007-12-03,104.0,0.7511800766010439
2007-12-04,104.0,0.7511800766010439
2007-12-05,104.0,0.7511800766010439
2007-12-06,104.0,0.7511800766010439
2007-12-07,104.0,0.7511800766010439
2007-12-10,102.0,0.7563001560708151
2007-12-11,102.0,0.7563001560708151
2007-12-12,102.0,0.7563001560708151
2007-12-13,102.0,0.7563001560708151
2007-12-14,102.0,0.7563001560708151
2007-12-17,102.0,0.7563001560708151
2007-12-18,102.0,0.7563001560708151
2007-12-19,102.0,0.7563001560708151
2007-12-20,102.0,0.7563001560708151
2007-12-21,102.0,0.7563001560708151
2007-12-24,102.0,0.7563001560708151
2007-12-26,102.0,0.7563001560708151
2007-12-27,102.0,0.7563001560708151
2007-12-28,102.0,0.7563001560708151
2007-12-31,102.0,0.7563001560708151
2008-01-02,102.0,0.7563001560708151
2008-01-03,102.0,0.7563001560708151
2008-01-04,102.0,0.7563001560708151
2008-01-07,102.0,0.7563001560708151
2008-01-08,102.0,0.7563001560708151
2008-01-09,102.0,0.7563001560708151
2008-01-10,100.0,0.76094641239491
2008-01-11,100.0,0.76094641239491
2008-01-14,100.0,0.76094641239491
2008-01-15,100.0,0.76094641239491
2008-01-16,100.0,0.76094641239491
2008-01-17,100.0,0.76094641239491
2008-01-18,100.0,0.76094641239491
2008-01-22,100.0,0.76094641239491
2008-01-23,100.0,0.76094641239491
2008-01-24,100.0,0.76094641239491
2008-01-25,100.0,0.76094641239491
2008-01-28,100.0,0.76094641239491
2008-01-29,100.0,0.76094641239491
2008-01-30,100.0,0.76094641239491
2008-01-31,100.0,0.76094641239491
2008-02-01,100.0,0.76094641239491
2008-02-04,100.0,0.76094641239491
2008-02-05,100.0,0.76094641239491
2008-02-06,100.0,0.76094641239491
2008-02-07,100.0,0.76094641239491
2008-02-08,100.0,0.76094641239491
2008-02-11,96.0,0.7721941922354931
2008-02-12,96.0,0.7721941922354931
2008-02-13,96.0,0.7721941922354931
2008-02-14,96.0,0.7721941922354931
2008-02-15,96.0,0.7721941922354931
2008-02-19,96.0,0.7721941922354931
2008-02-20,96.0,0.7721941922354931
2008-02-21,96.0,0.7721941922354931
2008-02-22,96.0,0.7721941922354931
2008-02-25,96.0,0.7721941922354931
2008-02-26,96.0,0.7721941922354931
2008-02-27,96.0,0.7721941922354931
2008-02-28,96.0,0.7721941922354931
2008-02-29,96.0,0.7721941922354931
2008-03-03,96.0,0.7721941922354931
2008-03-04,96.0,0.7721941922354931
2008-03-05,96.0,0.7721941922354931
2008-03-06,96.0,0.7721941922354931
2008-03-07,96.0,0.7721941922354931
2008-03-10,96.0,0.7721941922354931
2008-03-11,96.0,0.7721941922354931
2008-03-12,93.0,0.7776023055848931
2008-03-13,93.0,0.7776023055848931
2008-03-14,93.0,0.7776023055848931
2008-03-17,93.0,0.7776023055848931
2008-03-18,93.0,0.7776023055848931
2008-03-19,93.0,0.7776023055848931
2008-03-20,93.0,0.7776023055848931
2008-03-24,93.0,0.7776023055848931
2008-03-25,93.0,0.7776023055848931
2008-03-26,93.0,0.7776023055848931
2008-03-27,93.0,0.7776023055848931
2008-03-28,93.0,0.7776023055848931
2008-03-31,93.0,0.7776023055848931
2008-04-01,93.0,0.7776023055848931
2008-04-02,93.0,0.7776023055848931
2008-04-03,93.0,0.7776023055848931
2008-04-04,93.0,0.7776023055848931
2008-04-07,93.0,0.7776023055848931
2008-04-08,93.0,0.7776023055848931
2008-04-09,93.0,0.7776023055848931
2008-04-10,93.0,0.7776023055848931
2008-04-11,91.0,0.7823471777454661
2008-04-14,91.0,0.7823471777454661
2008-04-15,91.0,0.7823471777454661
2008-04-16,91.0,0.7823471777454661
2008-04-17,91.0,0.7823471777454661
2008-04-18,91.0,0.7823471777454661
2008-04-21,91.0,0.7823471777454661
2008-04-22,91.0,0.7823471777454661
2008-04-23,91.0,0.7823471777454661
2008-04-24,91.0,0.7823471777454661
2008-04-25,91.0,0.7823471777454661
2008-04-28,91.0,0.7823471777454661
2008-04-29,91.0,0.7823471777454661
2008-04-30,91.0,0.7823471777454661
2008-05-01,91.0,0.7823471777454661
2008-05-02,91.0,0.7823471777454661
2008-05-05,91.0,0.7823471777454661
2008-05-06,91.0,0.7823471777454661
2008-05-07,91.0,0.7823471777454661
2008-05-08,91.0,0.7823471777454661
2008-05-09,91.0,0.7823471777454661
2008-05-12,91.0,0.7836385171884654
2008-05-13,91.0,0.7836385171884654
2008-05-14,91.0,0.7836385171884654
2008-05-15,91.0,0.7836385171884654
2008-05-16,91.0,0.7836385171884654
2008-05-19,91.0,0.7836385171884654
2008-05-20,91.0,0.7836385171884654
2008-05-21,91.0,0.7836385171884654
2008-05-22,91.0,0.7836385171884654
2008-05-23,91.0,0.7836385171884654
2008-05-27,91.0,0.7836385171884654
2008-05-28,91.0,0.7836385171884654
2008-05-29,91.0,0.7836385171884654
2008-05-30,91.0,0.7836385171884654
2008-06-02,91.0,0.7836385171884654
2008-06-03,91.0,0.7836385171884654
2008-06-04,91.0,0.7836385171884654
2008-06-05,91.0,0.7836385171884654
2008-06-06,91.0,0.7836385171884654
2008-06-09,91.0,0.7836385171884654
2008-06-10,91.0,0.7836385171884654
2008-06-11,91.0,0.7837209681133896
2008-06-12,91.0,0.7837209681133896
2008-06-13,91.0,0.7837209681133896
2008-06-16,91.0,0.7837209681133896
2008-06-17,91.0,0.7837209681133896
2008-06-18,91.0,0.7837209681133896
2008-06-19,91.0,0.7837209681133896
2008-06-20,91.0,0.7837209681133896
2008-06-23,91.0,0.7837209681133896
2008-06-24,91.0,0.7837209681133896
2008-06-25,91.0,0.7837209681133896
2008-06-26,91.0,0.7837209681133896
2008-06-27,91.0,0.7837209681133896
2008-06-30,91.0,0.7837209681133896
2008-07-01,91.0,0.7837209681133896
2008-07-02,91.0,0.7837209681133896
2008-07-03,91.0,0.7837209681133896
2008-07-07,91.0,0.7837209681133896
2008-07-08,91.0,0.7837209681133896
2008-07-09,91.0,0.7837209681133896
2008-07-10,91.0,0.7837209681133896
2008-07-11,90.0,0.7850959974586963
2008-07-14,90.0,0.7850959974586963
2008-07-15,90.0,0.7850959974586963
2008-07-16,90.0,0.7850959974586963
2008-07-17,90.0,0.7850959974586963
2008-07-18,90.0,0.7850959974586963
2008-07-21,90.0,0.7850959974586963
2008-07-22,90.0,0.7850959974586963
2008-07-23,90.0,0.7850959974586963
2008-07-24,90.0,0.7850959974586963
2008-07-25,90.0,0.7850959974586963
2008-07-28,90.0,0.7850959974586963
2008-07-29,90.0,0.7850959974586963
2008-07-30,90.0,0.7850959974586963
2008-07-31,90.0,0.7850959974586963
2008-08-01,90.0,0.7850959974586963
2008-08-04,90.0,0.7850959974586963
2008-08-05,90.0,0.7850959974586963
2008-08-06,90.0,0.7850959974586963
2008-08-07,90.0,0.7850959974586963
2008-08-08,90.0,0.7850959974586963
2008-08-11,86.0,0.794182200010447
2008-08-12,86.0,0.794182200010447
2008-08-13,86.0,0.794182200010447
2008-08-14,86.0,0.794182200010447
2008-08-15,86.0,0.794182200010447
2008-08-18,86.0,0.794182200010447
2008-08-19,86.0,0.794182200010447
2008-08-20,86.0,0.794182200010447
