,0
IRM,0.011310324810883947
K,0.011356414361133452
HST,0.01140543802506582
TAP,0.011435624643927451
KEY,0.011438082997178066
FAST,0.011461994130086592
1519128D,0.011469408158688696
SO,0.011472243920734702
SPG,0.011473534492951788
APC,0.011503425170824857
LEG,0.011516795854597712
OXY,0.011544765865449001
MMC,0.011562321391166376
BAC,0.0116120858106695
SPLS,0.011614609326250176
CTL,0.011695664382918455
TROW,0.01179803731017872
BF/B,0.011842679521077537
STI,0.011944256874970171
AIG,0.011965339641085834
FFIV,0.011968381432020761
SRE,0.01197595812400316
MS,0.011991616643952145
COF,0.012054551867148572
YUM,0.012189347934237201
ABT,0.012214151324715173
CHRW,0.01221528895308057
PG,0.01221711945630576
XRX,0.012253301985104133
RF,0.012254628686790192
HIG,0.012293353726764725
TGT,0.012311097439650741
UPS,0.012350881020814544
PSA,0.012362592153232066
SYMC,0.012372312408636486
SYY,0.012421722375526434
ORCL,0.012474783723300045
FISV,0.012547126631857676
GWW,0.012549415762439751
CINF,0.012571701311107027
BK,0.012669427026960264
WM,0.012701987297335135
ECL,0.012815649468170313
D,0.012948859725916403
GIS,0.012949585466662914
APH,0.013003286909900718
MSFT,0.013033345654318266
NBL,0.01305164158120052
DRI,0.013102103579511961
LNC,0.013102145515419978
CL,0.01314587850659966
JPM,0.01319253323763293
NTRS,0.013365534461482451
KSS,0.013463470643392863
BBBY,0.01347879068232536
DGX,0.01349022390731267
9876566D,0.01360910147449434
FITB,0.013631290639453172
UNM,0.013966166894972204
TRV,0.014069733884420989
WEC,0.014070801239493318
CTAS,0.014074603026765475
LLTC,0.014152429069257988
HCN,0.014195617579769382
MCHP,0.014232876079929384
ED,0.01445378452250298
WMT,0.014631328959697633
INTU,0.014806972124475529
STT,0.01481647027895294
SIAL,0.014876676863038172
HCP,0.014978120210045997
RSG,0.015009440328309075
AFL,0.015086092267004105
PX,0.015259456610405132
PCL,0.015412666474688903
PNC,0.015514498184127404
CLX,0.015972364051595293
SCG,0.01668186201199539
QLGC,0.016723405472275528
USB,0.016881170897030555
CB,0.01804534223682346
HBAN,0.018242710216530587
BBT,0.01870878667209274
WFC,0.02445882443727189
